area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
14,AREA # 14,Lambayeque,15-19,56912,57995,114907
14,AREA # 14,Lambayeque,20-24,48073,51321,99394
14,AREA # 14,Lambayeque,25-29,41135,45580,86715
14,AREA # 14,Lambayeque,30-34,37949,43196,81145
14,AREA # 14,Lambayeque,35-39,34495,40482,74977
14,AREA # 14,Lambayeque,40-44,31054,35739,66793
14,AREA # 14,Lambayeque,45-49,26904,30844,57748
14,AREA # 14,Lambayeque,5-9,54553,52941,107494
14,AREA # 14,Lambayeque,50-54,23450,25991,49441
14,AREA # 14,Lambayeque,55-59,17798,19365,37163
14,AREA # 14,Lambayeque,60-64,15174,15512,30686
14,AREA # 14,Lambayeque,65-69,11539,11704,23243
14,AREA # 14,Lambayeque,70-74,9476,9812,19288
14,AREA # 14,Lambayeque,75-79,7159,7108,14267
14,AREA # 14,Lambayeque,80-84,4208,4421,8629
14,AREA # 14,Lambayeque,85-89,2569,2678,5247
14,AREA # 14,Lambayeque,90-94,932,1084,2016
14,AREA # 14,Lambayeque,95-99,347,567,914
15,AREA # 15,Lima,0-4,364494,349313,713807
15,AREA # 15,Lima,10-14,377824,368847,746671
15,AREA # 15,Lima,15-19,394175,404989,799164
15,AREA # 15,Lima,20-24,411779,425259,837038
15,AREA # 15,Lima,25-29,381987,399486,781473
15,AREA # 15,Lima,30-34,351079,370030,721109
15,AREA # 15,Lima,35-39,300807,325997,626804
15,AREA # 15,Lima,40-44,263515,282934,546449
15,AREA # 15,Lima,45-49,217285,237826,455111
15,AREA # 15,Lima,5-9,350410,334934,685344
15,AREA # 15,Lima,50-54,188086,211142,399228
15,AREA # 15,Lima,55-59,148118,159986,308104
15,AREA # 15,Lima,60-64,118750,126347,245097
15,AREA # 15,Lima,65-69,92043,98046,190089
15,AREA # 15,Lima,70-74,70706,77503,148209
15,AREA # 15,Lima,75-79,53443,59587,113030
15,AREA # 15,Lima,80-84,31252,38209,69461
15,AREA # 15,Lima,85-89,16350,22210,38560
15,AREA # 15,Lima,90-94,5385,8753,14138
15,AREA # 15,Lima,95-99,2198,4127,6325
16,AREA # 16,Loreto,0-4,65187,63053,128240
16,AREA # 16,Loreto,10-14,56612,53809,110421
16,AREA # 16,Loreto,15-19,51003,49628,100631
16,AREA # 16,Loreto,20-24,40194,40375,80569
16,AREA # 16,Loreto,25-29,34617,34117,68734
16,AREA # 16,Loreto,30-34,29428,28202,57630
16,AREA # 16,Loreto,35-39,25998,25786,51784
16,AREA # 16,Loreto,40-44,24109,21776,45885
16,AREA # 16,Loreto,45-49,20364,17730,38094
16,AREA # 16,Loreto,5-9,53699,51987,105686
16,AREA # 16,Loreto,50-54,16190,13646,29836
16,AREA # 16,Loreto,55-59,12534,10418,22952
16,AREA # 16,Loreto,60-64,9198,7716,16914
16,AREA # 16,Loreto,65-69,6843,5954,12797
16,AREA # 16,Loreto,70-74,4671,4159,8830
16,AREA # 16,Loreto,75-79,3415,3183,6598
16,AREA # 16,Loreto,80-84,1630,1759,3389
16,AREA # 16,Loreto,85-89,911,969,1880
16,AREA # 16,Loreto,90-94,235,310,545
16,AREA # 16,Loreto,95-99,124,193,317
17,AREA # 17,Madre de Dios,0-4,6439,6255,12694
17,AREA # 17,Madre de Dios,10-14,5572,5474,11046
17,AREA # 17,Madre de Dios,15-19,5642,5729,11371
17,AREA # 17,Madre de Dios,20-24,6514,5870,12384
17,AREA # 17,Madre de Dios,25-29,5928,4988,10916
17,AREA # 17,Madre de Dios,30-34,5072,4121,9193
17,AREA # 17,Madre de Dios,35-39,4643,3596,8239
17,AREA # 17,Madre de Dios,40-44,4135,2813,6948
17,AREA # 17,Madre de Dios,45-49,3382,2027,5409
17,AREA # 17,Madre de Dios,5-9,5471,5212,10683
17,AREA # 17,Madre de Dios,50-54,2371,1324,3695
17,AREA # 17,Madre de Dios,55-59,1585,905,2490
17,AREA # 17,Madre de Dios,60-64,971,613,1584
17,AREA # 17,Madre de Dios,65-69,705,477,1182
17,AREA # 17,Madre de Dios,70-74,427,248,675
17,AREA # 17,Madre de Dios,75-79,323,213,536
17,AREA # 17,Madre de Dios,80-84,174,98,272
17,AREA # 17,Madre de Dios,85-89,103,56,159
17,AREA # 17,Madre de Dios,90-94,26,20,46
17,AREA # 17,Madre de Dios,95-99,16,17,33
18,AREA # 18,Moquegua,0-4,6877,6382,13259
18,AREA # 18,Moquegua,10-14,7407,7090,14497
18,AREA # 18,Moquegua,15-19,7155,6790,13945
18,AREA # 18,Moquegua,20-24,7382,7358,14740
18,AREA # 18,Moquegua,25-29,7514,7360,14874
18,AREA # 18,Moquegua,30-34,6973,6740,13713
18,AREA # 18,Moquegua,35-39,6530,6457,12987
18,AREA # 18,Moquegua,40-44,5629,5324,10953
18,AREA # 18,Moquegua,45-49,4628,4448,9076
18,AREA # 18,Moquegua,5-9,6702,6439,13141
18,AREA # 18,Moquegua,50-54,3988,3733,7721
18,AREA # 18,Moquegua,55-59,3315,2948,6263
